ds,yhat,yhat_lower,yhat_upper
2022-08-01,39659357.18784399,-2343953.053907672,79230273.23825999
2022-09-01,75651227.43392532,38013331.91418869,116278161.581229
2022-10-01,98505921.09980795,60163511.83157543,141130370.96663374
2022-11-01,119676300.55286518,79038958.11997293,162314984.37083915
2022-12-01,181127208.08803475,137564653.33767036,219815760.07547748
2023-01-01,149386434.97429842,108612659.06564261,189588783.55721325
2023-02-01,146858358.53263703,105389547.7675411,183713362.9527412
2023-03-01,171724892.8153193,132718073.50137998,210268216.37723058
2023-04-01,171564760.94541398,132509994.23736839,209997339.40885097
2023-05-01,180969078.04230857,139145709.66196588,221417976.0700582
2023-06-01,183368758.16701958,144652079.94329253,222659018.69250935
2023-07-01,186517262.85702565,147056662.7156422,226233233.88873056
2023-08-01,170743196.69010523,130180260.96270967,211637384.74998257
2023-09-01,235517152.50492612,196136137.19131762,274173208.2909
2023-10-01,221088490.05077532,179554226.25460833,263072443.8188012
2023-11-01,195166854.01885372,154187180.07719603,233367351.00309727
2023-12-01,345888602.81384426,304922517.4631898,389063030.4046538
2024-01-01,281634596.9380086,242113098.9676307,320307882.39408165
2024-02-01,300835322.3119041,259532214.965423,340251798.67888623
2024-03-01,353228729.6506423,312260407.52987194,394048687.1109127
2024-04-01,317556309.02541554,275023355.7382855,358661985.75043756
2024-05-01,334952889.59123135,291422576.83800066,372508910.352145
2024-06-01,305708902.1505767,268389279.27652007,347533705.2262714
2024-07-01,309034099.91749585,267265729.74377015,348479888.27483404
2024-08-01,302637729.80818313,263278865.23288423,341017257.475728
2024-09-01,279332429.8771971,241115665.39933863,320574500.1608616
2024-09-30,342834769.1083558,301802113.2635182,384622853.554902
2024-10-31,271345966.50435036,232036924.2181088,313756672.84139484
2024-11-30,511673937.8127612,469427003.1299575,550550824.8261746
2024-12-31,414106255.9146206,372377133.8013118,452447019.8916511
2025-01-31,454659998.55150384,413530238.4221746,492878293.0855018
2025-02-28,398429740.5287139,357082007.4280965,440004945.39255464
